player_id,player_name,player_display_name,position,position_group,team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,return_yards_placeholder,key
00-0029701,R.Tannehill,Ryan Tannehill,QB,QB,TEN,2023,5,REG,IND,23,34,264.0,0,1.0,1.0,5.0,0,0,258.0,115.0,14.0,9.329528,0,1.0232558,0.15728301,2,12.0,0,0.0,0.0,1.0,0.79395425,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,R.Tannehill|TEN|QB|5
00-0029701,R.Tannehill,Ryan Tannehill,QB,QB,TEN,2023,6,REG,BAL,8,16,76.0,0,1.0,2.0,16.0,0,0,131.0,49.0,3.0,-10.508054,0,0.5801527,-0.00412251,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,R.Tannehill|TEN|QB|6
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,RB,SF,2023,3,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,3.0,0,0.0,0.0,1.0,0.23948689,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,K.Juszczyk|SF|RB|3
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,RB,SF,2023,4,REG,ARI,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,2,3.0,0,0.0,0.0,0.0,-0.5348255,0,1,1,4.0,0,0.0,0.0,4.0,0.0,0.0,-0.2839144,0,1.0,0.04761905,0.022099448,0.086898185,0.0,0,K.Juszczyk|SF|RB|4
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,RB,SF,2023,5,REG,DAL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,4,26.0,1,0.0,0.0,2.0,24.0,3.0,3.6396,0,13.0,0.16,0.009478673,0.24663506,0.0,0,K.Juszczyk|SF|RB|5
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,RB,SF,2023,6,REG,CLE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,9.0,0,0.0,0.0,8.0,1.0,0.0,0.5302053,0,1.125,0.041666668,0.033333335,0.08583333,0.0,0,K.Juszczyk|SF|RB|6
00-0030035,A.Thielen,Adam Thielen,WR,WR,CAR,2023,1,REG,ATL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,12.0,0,0.0,0.0,9.0,3.0,1.0,0.75716525,0,1.3333334,0.06451613,0.039473683,0.12440577,0.0,0,A.Thielen|CAR|WR|1
00-0030035,A.Thielen,Adam Thielen,WR,WR,CAR,2023,2,REG,NO,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,7,9,54.0,1,0.0,0.0,59.0,24.0,4.0,2.1747406,1,0.91525424,0.29032257,0.27962086,0.6312185,0.0,0,A.Thielen|CAR|WR|2
00-0030035,A.Thielen,Adam Thielen,WR,WR,CAR,2023,3,REG,SEA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,11,14,145.0,1,0.0,0.0,138.0,40.0,9.0,13.134859,0,1.0507246,0.24561404,0.2955032,0.5752733,0.0,0,A.Thielen|CAR|WR|3
00-0030035,A.Thielen,Adam Thielen,WR,WR,CAR,2023,4,REG,MIN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,6.0,0,0.0,0.0,0.0,0.23642102,0,7,8,76.0,0,0.0,0.0,49.0,38.0,4.0,4.062293,0,1.5510204,0.2580645,0.49,0.73009676,0.0,0,A.Thielen|CAR|WR|4
00-0030035,A.Thielen,Adam Thielen,WR,WR,CAR,2023,5,REG,DET,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,11,13,107.0,1,0.0,0.0,86.0,48.0,7.0,10.88313,0,1.244186,0.37142858,0.3553719,0.8059032,0.0,0,A.Thielen|CAR|WR|5
00-0030035,A.Thielen,Adam Thielen,WR,WR,CAR,2023,6,REG,MIA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,11,13,115.0,1,0.0,0.0,120.0,24.0,8.0,9.153737,0,0.9583333,0.37142858,0.42105263,0.8518797,0.0,0,A.Thielen|CAR|WR|6
00-0030061,Z.Ertz,Zach Ertz,TE,TE,ARI,2023,1,REG,WAS,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,6,10,21.0,0,0.0,0.0,56.0,6.0,1.0,-3.3606026,0,0.375,0.33333334,0.30107528,0.71075267,0.0,0,Z.Ertz|ARI|TE|1
